customer_id,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,segment
CUST00169,222,1,1799.45,1,1,3,113,Dormant
CUST00170,9,10,6759.48,5,5,5,555,Champion
CUST00171,12,1,1077.78,5,1,2,512,Potential Loyalist
CUST00172,8,7,4910.65,5,5,5,555,Champion
CUST00173,79,5,1431.69,3,4,2,342,Potential Loyalist
CUST00174,86,6,2361.28,2,5,3,253,At Risk
CUST00175,59,4,3568.3199999999997,3,4,4,344,Loyal Customer
CUST00176,37,3,3830.31,4,3,4,434,Potential Loyalist
CUST00177,82,2,1003.66,3,2,2,322,Potential Loyalist
CUST00178,5,8,5602.76,5,5,5,555,Champion
CUST00179,38,3,1585.62,4,3,3,433,Potential Loyalist
CUST00180,96,2,1570.85,2,2,3,223,Dormant
CUST00181,6,1,1107.73,5,1,2,512,Potential Loyalist
CUST00182,31,1,305.3,4,1,1,411,Potential Loyalist
CUST00183,152,3,3246.8900000000003,1,3,4,134,At Risk
CUST00184,14,5,5072.85,5,4,5,545,Champion
CUST00185,114,7,4179.18,2,5,5,255,Loyal Customer
CUST00186,41,1,714.65,4,1,1,411,Potential Loyalist
CUST00187,149,3,1344.75,1,3,2,132,At Risk
CUST00188,29,7,5810.17,4,5,5,455,Champion
CUST00189,140,9,5900.65,2,5,5,255,Loyal Customer
CUST00190,6,1,482.88,5,1,1,511,Potential Loyalist
CUST00191,28,1,149.0,4,1,1,411,Potential Loyalist
CUST00192,55,3,2263.95,3,3,3,333,Potential Loyalist
CUST00193,157,1,424.74,1,1,1,111,Dormant
CUST00194,80,5,3878.09,3,4,4,344,Loyal Customer
CUST00195,23,1,654.27,4,1,1,411,Potential Loyalist
CUST00196,24,2,1272.38,4,2,2,422,Potential Loyalist
CUST00197,15,9,8552.59,5,5,5,555,Champion
CUST00198,37,9,7595.96,4,5,5,455,Champion
CUST00199,6,4,3273.56,5,4,4,544,Champion
CUST00200,15,6,6239.45,5,5,5,555,Champion
CUST00201,93,7,6691.56,2,5,5,255,Loyal Customer
CUST00202,141,1,1220.26,2,1,2,212,Dormant
CUST00203,114,2,743.3499999999999,2,2,1,221,Dormant
CUST00204,42,5,2706.75,4,4,4,444,Champion
CUST00205,30,5,3202.69,4,4,4,444,Champion
CUST00206,118,10,6479.7,2,5,5,255,Loyal Customer
CUST00207,18,1,193.1,5,1,1,511,Potential Loyalist
CUST00208,91,6,6865.35,2,5,5,255,Loyal Customer
CUST00209,279,5,3422.88,1,4,4,144,Loyal Customer
CUST00210,128,2,1254.8700000000001,2,2,2,222,Dormant
CUST00211,90,5,27215.920000000002,2,4,5,245,Loyal Customer
CUST00212,204,3,2071.6800000000003,1,3,3,133,At Risk
CUST00213,86,2,1680.61,2,2,3,223,Dormant
CUST00214,64,1,1427.16,3,1,2,312,Potential Loyalist
CUST00215,34,3,1564.1,4,3,3,433,Potential Loyalist
CUST00216,48,1,1349.42,3,1,2,312,Potential Loyalist
CUST00217,79,3,1179.94,3,3,2,332,Potential Loyalist
CUST00218,23,2,1492.68,4,2,2,422,Potential Loyalist
CUST00219,154,6,2782.79,1,5,4,154,Loyal Customer
CUST00220,25,3,1450.4099999999999,4,3,2,432,Potential Loyalist
CUST00221,7,2,781.03,5,2,2,522,Potential Loyalist
CUST00222,186,2,1259.5,1,2,2,122,Dormant
CUST00223,103,1,757.58,2,1,1,211,Dormant
CUST00224,89,2,1839.95,2,2,3,223,Dormant
CUST00225,88,3,3012.6,2,3,4,234,At Risk
CUST00226,54,3,2345.42,3,3,3,333,Potential Loyalist
CUST00227,153,6,4383.02,1,5,5,155,Loyal Customer
CUST00228,82,7,4150.72,3,5,5,355,Loyal Customer
CUST00229,92,5,3077.41,2,4,4,244,Loyal Customer
CUST00230,37,8,7503.74,4,5,5,455,Champion
CUST00231,23,3,1558.41,4,3,3,433,Potential Loyalist
CUST00232,55,1,786.26,3,1,2,312,Potential Loyalist
CUST00233,361,3,1626.9899999999998,1,3,3,133,At Risk
CUST00234,17,4,2458.9700000000003,5,4,3,543,Potential Loyalist
CUST00235,125,4,2278.82,2,4,3,243,At Risk
CUST00236,62,1,782.89,3,1,2,312,Potential Loyalist
CUST00237,15,4,3607.29,5,4,4,544,Champion
CUST00238,78,2,2181.78,3,2,3,323,Potential Loyalist
CUST00239,320,1,208.1,1,1,1,111,Dormant
CUST00240,56,2,2277.31,3,2,3,323,Potential Loyalist
CUST00241,6,3,3041.48,5,3,4,534,Potential Loyalist
CUST00242,82,6,3655.25,3,5,4,354,Loyal Customer
CUST00243,69,4,3129.06,3,4,4,344,Loyal Customer
CUST00244,144,2,2449.86,2,2,3,223,Dormant
CUST00245,73,2,1245.78,3,2,2,322,Potential Loyalist
CUST00246,52,3,1985.72,3,3,3,333,Potential Loyalist
CUST00247,57,11,5611.35,3,5,5,355,Loyal Customer
CUST00248,71,7,4187.5599999999995,3,5,5,355,Loyal Customer
CUST00249,162,3,1761.46,1,3,3,133,At Risk
CUST00250,35,1,837.19,4,1,2,412,Potential Loyalist
CUST00251,41,1,966.73,4,1,2,412,Potential Loyalist
CUST00252,190,6,5194.02,1,5,5,155,Loyal Customer
CUST00253,191,3,1901.1299999999999,1,3,3,133,At Risk
CUST00254,183,4,3041.57,1,4,4,144,Loyal Customer
CUST00255,22,6,4806.29,4,5,5,455,Champion
CUST00256,181,2,1727.8400000000001,1,2,3,123,Dormant
CUST00257,55,2,1042.47,3,2,2,322,Potential Loyalist
CUST00258,42,10,6259.64,4,5,5,455,Champion
CUST00259,192,1,1519.33,1,1,2,112,Dormant
CUST00260,2,2,1820.81,5,2,3,523,Potential Loyalist
CUST00261,51,1,350.44,3,1,1,311,Potential Loyalist
CUST00262,9,2,1318.44,5,2,2,522,Potential Loyalist
CUST00263,25,12,7940.0,4,5,5,455,Champion
CUST00264,31,2,671.0999999999999,4,2,1,421,Potential Loyalist
CUST00265,77,1,510.24,3,1,1,311,Potential Loyalist
CUST00266,158,4,5306.62,1,4,5,145,Loyal Customer
CUST00267,29,4,4026.2300000000005,4,4,4,444,Champion
CUST00268,9,3,2097.02,5,3,3,533,Potential Loyalist
CUST00269,30,3,2563.9300000000003,4,3,4,434,Potential Loyalist
CUST00270,75,2,968.72,3,2,2,322,Potential Loyalist
CUST00271,32,4,3933.98,4,4,4,444,Champion
CUST00272,12,13,13721.27,5,5,5,555,Champion
CUST00273,13,8,6009.55,5,5,5,555,Champion
CUST00274,71,1,695.0,3,1,1,311,Potential Loyalist
CUST00275,241,6,3879.21,1,5,4,154,Loyal Customer
CUST00276,47,6,8721.42,3,5,5,355,Loyal Customer
CUST00277,2,3,1630.27,5,3,3,533,Potential Loyalist
CUST00278,69,4,2768.06,3,4,4,344,Loyal Customer
CUST00279,12,8,5366.55,5,5,5,555,Champion
CUST00280,10,8,7231.759999999999,5,5,5,555,Champion
CUST00281,35,2,1161.06,4,2,2,422,Potential Loyalist
CUST00282,296,2,774.76,1,2,1,121,Dormant
CUST00283,18,10,7871.0,5,5,5,555,Champion
CUST00284,291,2,781.62,1,2,2,122,Dormant
CUST00285,13,4,2158.18,5,4,3,543,Potential Loyalist
CUST00286,369,2,2027.25,1,2,3,123,Dormant
CUST00287,69,6,6236.95,3,5,5,355,Loyal Customer
CUST00288,110,2,1096.1,2,2,2,222,Dormant
CUST00289,5,2,811.06,5,2,2,522,Potential Loyalist
CUST00290,9,1,251.16,5,1,1,511,Potential Loyalist
CUST00291,58,9,5604.34,3,5,5,355,Loyal Customer
CUST00292,43,1,657.91,4,1,1,411,Potential Loyalist
CUST00293,230,3,1699.71,1,3,3,133,At Risk
CUST00294,102,1,1714.42,2,1,3,213,Dormant
CUST00295,16,2,2000.29,5,2,3,523,Potential Loyalist
CUST00296,132,4,1989.83,2,4,3,243,At Risk
CUST00297,154,1,1130.29,1,1,2,112,Dormant
CUST00298,201,1,1122.99,1,1,2,112,Dormant
CUST00299,343,4,2302.1800000000003,1,4,3,143,At Risk
CUST00300,5,4,2276.6099999999997,5,4,3,543,Potential Loyalist
CUST00301,9,7,7023.07,5,5,5,555,Champion
CUST00302,148,4,2534.0,1,4,3,143,At Risk
CUST00303,48,5,3674.2,3,4,4,344,Loyal Customer
CUST00304,87,3,2837.27,2,3,4,234,At Risk
CUST00305,166,1,531.59,1,1,1,111,Dormant
CUST00306,19,5,3658.35,5,4,4,544,Champion
CUST00307,32,3,2114.17,4,3,3,433,Potential Loyalist
CUST00308,66,2,1535.15,3,2,2,322,Potential Loyalist
CUST00309,8,3,2731.6099999999997,5,3,4,534,Potential Loyalist
CUST00310,22,1,578.27,4,1,1,411,Potential Loyalist
CUST00311,48,1,1336.82,3,1,2,312,Potential Loyalist
CUST00312,64,1,486.27,3,1,1,311,Potential Loyalist
CUST00313,162,1,769.77,1,1,1,111,Dormant
CUST00314,16,1,560.98,5,1,1,511,Potential Loyalist
CUST00315,17,10,10137.960000000001,5,5,5,555,Champion
CUST00316,97,2,1079.82,2,2,2,222,Dormant
CUST00317,100,1,1353.24,2,1,2,212,Dormant
CUST00318,47,5,5959.01,3,4,5,345,Loyal Customer
CUST00319,147,6,2585.4700000000003,2,5,4,254,Loyal Customer
CUST00320,25,7,5001.34,4,5,5,455,Champion
CUST00321,116,6,3100.54,2,5,4,254,Loyal Customer
CUST00322,4,5,3351.86,5,4,4,544,Champion
CUST00323,5,8,7225.06,5,5,5,555,Champion
CUST00324,274,4,6039.5599999999995,1,4,5,145,Loyal Customer
CUST00325,44,3,3542.89,4,3,4,434,Potential Loyalist
CUST00326,124,3,1868.65,2,3,3,233,At Risk
CUST00327,2,3,1087.67,5,3,2,532,Potential Loyalist
CUST00328,322,1,371.68,1,1,1,111,Dormant
CUST00329,1,1,299.28,5,1,1,511,Potential Loyalist
CUST00330,74,3,1307.8000000000002,3,3,2,332,Potential Loyalist
CUST00331,151,5,3450.66,1,4,4,144,Loyal Customer
CUST00332,24,2,2059.8,4,2,3,423,Potential Loyalist
CUST00333,75,1,870.15,3,1,2,312,Potential Loyalist
CUST00334,85,3,2170.31,3,3,3,333,Potential Loyalist
CUST00335,148,3,2480.1,1,3,3,133,At Risk
CUST00336,29,4,1900.82,4,4,3,443,Potential Loyalist
CUST00337,7,2,1887.73,5,2,3,523,Potential Loyalist
CUST00338,12,1,887.38,5,1,2,512,Potential Loyalist
CUST00339,92,4,2671.88,2,4,4,244,Loyal Customer
CUST00340,46,8,5565.53,4,5,5,455,Champion
CUST00341,19,1,790.16,5,1,2,512,Potential Loyalist
CUST00342,1,3,2620.58,5,3,4,534,Potential Loyalist
CUST00343,94,5,2489.52,2,4,3,243,At Risk
CUST00344,189,5,4461.57,1,4,5,145,Loyal Customer
CUST00345,3,5,5510.36,5,4,5,545,Champion
CUST00346,72,11,10011.3,3,5,5,355,Loyal Customer
CUST00347,184,4,3311.46,1,4,4,144,Loyal Customer
CUST00348,1,3,2509.74,5,3,3,533,Potential Loyalist
CUST00349,74,4,3794.38,3,4,4,344,Loyal Customer
CUST00350,41,1,537.51,4,1,1,411,Potential Loyalist
CUST00351,9,7,7447.2,5,5,5,555,Champion
CUST00352,27,1,1000.77,4,1,2,412,Potential Loyalist
CUST00353,118,4,1755.1200000000001,2,4,3,243,At Risk
CUST00354,36,5,2894.64,4,4,4,444,Champion
CUST00355,171,4,3405.2,1,4,4,144,Loyal Customer
CUST00356,7,5,2474.34,5,4,3,543,Potential Loyalist
CUST00357,42,1,513.15,4,1,1,411,Potential Loyalist
CUST00358,101,2,1523.3600000000001,2,2,2,222,Dormant
CUST00359,3,8,6332.549999999999,5,5,5,555,Champion
CUST00360,2,6,8052.9800000000005,5,5,5,555,Champion
CUST00361,169,1,361.04,1,1,1,111,Dormant
CUST00362,23,4,2137.19,4,4,3,443,Potential Loyalist
CUST00363,27,1,413.99,4,1,1,411,Potential Loyalist
CUST00364,359,3,2049.88,1,3,3,133,At Risk
CUST00365,158,1,1015.06,1,1,2,112,Dormant
CUST00366,92,4,5279.17,2,4,5,245,Loyal Customer
CUST00367,212,1,884.81,1,1,2,112,Dormant
CUST00368,55,1,348.81,3,1,1,311,Potential Loyalist
CUST00369,71,3,2263.62,3,3,3,333,Potential Loyalist
CUST00370,172,1,452.14,1,1,1,111,Dormant
CUST00371,124,3,2631.54,2,3,4,234,At Risk
CUST00372,56,1,431.11,3,1,1,311,Potential Loyalist
CUST00373,73,2,1612.8899999999999,3,2,3,323,Potential Loyalist
CUST00374,219,2,795.8299999999999,1,2,2,122,Dormant
CUST00375,85,6,3564.29,3,5,4,354,Loyal Customer
CUST00376,45,8,5532.45,4,5,5,455,Champion
CUST00377,80,4,2214.32,3,4,3,343,Potential Loyalist
CUST00378,99,1,1622.32,2,1,3,213,Dormant
CUST00379,75,2,1029.97,3,2,2,322,Potential Loyalist
CUST00380,39,6,3460.9,4,5,4,454,Champion
CUST00381,182,1,597.86,1,1,1,111,Dormant
CUST00382,45,2,766.55,4,2,1,421,Potential Loyalist
CUST00383,8,6,4050.1099999999997,5,5,5,555,Champion
CUST00384,26,1,470.31,4,1,1,411,Potential Loyalist
CUST00385,63,7,5606.02,3,5,5,355,Loyal Customer
CUST00386,0,6,4989.88,5,5,5,555,Champion
CUST00387,40,1,721.21,4,1,1,411,Potential Loyalist
CUST00388,37,5,2574.36,4,4,4,444,Champion
CUST00389,14,9,6570.38,5,5,5,555,Champion
CUST00390,54,2,1639.4299999999998,3,2,3,323,Potential Loyalist
CUST00391,1,3,2830.86,5,3,4,534,Potential Loyalist
CUST00392,133,7,5290.95,2,5,5,255,Loyal Customer
CUST00393,12,2,2231.04,5,2,3,523,Potential Loyalist
CUST00394,1,1,404.19,5,1,1,511,Potential Loyalist
CUST00395,35,3,1418.71,4,3,2,432,Potential Loyalist
CUST00396,10,5,3031.7799999999997,5,4,4,544,Champion
CUST00397,79,11,9647.73,3,5,5,355,Loyal Customer
CUST00398,8,4,2823.02,5,4,4,544,Champion
CUST00399,262,4,2749.65,1,4,4,144,Loyal Customer
CUST00400,44,1,402.05,4,1,1,411,Potential Loyalist
CUST00401,66,1,568.99,3,1,1,311,Potential Loyalist
CUST00402,132,3,1410.06,2,3,2,232,At Risk
CUST00403,21,2,2029.3200000000002,4,2,3,423,Potential Loyalist
CUST00404,193,6,4631.52,1,5,5,155,Loyal Customer
CUST00405,2,1,282.03,5,1,1,511,Potential Loyalist
CUST00406,10,3,997.27,5,3,2,532,Potential Loyalist
CUST00407,18,1,1569.01,5,1,3,513,Potential Loyalist
CUST00408,40,7,4155.91,4,5,5,455,Champion
CUST00409,58,7,4946.35,3,5,5,355,Loyal Customer
CUST00410,1,2,1365.22,5,2,2,522,Potential Loyalist
CUST00411,253,1,1756.76,1,1,3,113,Dormant
CUST00412,529,1,1486.51,1,1,2,112,Dormant
CUST00413,26,3,1644.89,4,3,3,433,Potential Loyalist
CUST00414,3,1,311.44,5,1,1,511,Potential Loyalist
CUST00415,120,2,2282.07,2,2,3,223,Dormant
CUST00416,28,2,1020.28,4,2,2,422,Potential Loyalist
CUST00417,151,4,2750.0299999999997,1,4,4,144,Loyal Customer
CUST00418,5,2,1919.75,5,2,3,523,Potential Loyalist
CUST00419,98,2,1795.1,2,2,3,223,Dormant
CUST00420,18,4,4050.29,5,4,5,545,Champion
CUST00421,0,7,5557.389999999999,5,5,5,555,Champion
CUST00422,125,2,1075.03,2,2,2,222,Dormant
CUST00423,135,3,2349.76,2,3,3,233,At Risk
CUST00424,113,2,1297.49,2,2,2,222,Dormant
CUST00425,113,2,1502.44,2,2,2,222,Dormant
CUST00426,77,2,1478.25,3,2,2,322,Potential Loyalist
CUST00427,1,2,331.53,5,2,1,521,Potential Loyalist
CUST00428,74,5,2817.05,3,4,4,344,Loyal Customer
CUST00429,6,1,432.48,5,1,1,511,Potential Loyalist
CUST00430,22,3,2369.81,4,3,3,433,Potential Loyalist
CUST00431,154,2,903.65,1,2,2,122,Dormant
CUST00432,112,4,5036.07,2,4,5,245,Loyal Customer
CUST00433,36,6,4884.34,4,5,5,455,Champion
CUST00434,293,2,1034.35,1,2,2,122,Dormant
CUST00435,200,3,1740.56,1,3,3,133,At Risk
CUST00436,49,4,2770.92,3,4,4,344,Loyal Customer
CUST00437,151,1,729.22,1,1,1,111,Dormant
CUST00438,64,3,2466.39,3,3,3,333,Potential Loyalist
CUST00439,119,3,1981.34,2,3,3,233,At Risk
CUST00440,64,1,325.03,3,1,1,311,Potential Loyalist
CUST00441,211,1,786.67,1,1,2,112,Dormant
CUST00442,69,8,4905.34,3,5,5,355,Loyal Customer
CUST00443,265,3,1694.35,1,3,3,133,At Risk
CUST00444,232,1,520.84,1,1,1,111,Dormant
CUST00445,26,1,1594.8,4,1,3,413,Potential Loyalist
CUST00446,26,1,521.16,4,1,1,411,Potential Loyalist
CUST00447,36,7,3091.4,4,5,4,454,Champion
CUST00448,136,5,4291.91,2,4,5,245,Loyal Customer
CUST00449,209,2,661.52,1,2,1,121,Dormant
CUST00450,44,1,862.9,4,1,2,412,Potential Loyalist
CUST00451,29,4,3636.0,4,4,4,444,Champion
CUST00452,256,6,1929.85,1,5,3,153,At Risk
CUST00453,17,4,3032.93,5,4,4,544,Champion
CUST00454,13,4,2655.42,5,4,4,544,Champion
CUST00455,273,3,1616.76,1,3,3,133,At Risk
CUST00456,147,4,3440.2,2,4,4,244,Loyal Customer
CUST00457,321,2,1371.21,1,2,2,122,Dormant
CUST00458,4,2,1371.81,5,2,2,522,Potential Loyalist
CUST00459,237,3,2928.0299999999997,1,3,4,134,At Risk
CUST00460,19,11,9241.95,5,5,5,555,Champion
